verb	verb_id	object	sentence	phrase
inhibits	0	activity	VIP stimulates adenylate cyclase activity of male and female rat anterior pituitaries and human prolactinomas , while DOPAMINE INHIBITS the enzyme ACTIVITY of female rat pituitaries and prolactinomas .	...dopamine inhibits the enzyme activity of...
inhibited	2	cyclase	A DOPAMINE INHIBITED CYCLASE can be detected also in male rats provided the enzyme activity is increased by VIP .	...dopamine inhibited cyclase can...
has	4	action	Nigrostriatal ( but not tuberoinfundibular ) DOPAMINE HAS only an inhibitory ACTION on TRH release and/or synthesis .	...dopamine has only an inhibitory action on...
complex	-1	on	The most commonly employed and effective inotropic agents are the sympathomimetic amines DOPAMINE and dobutamine , which have COMPLEX effects ON important variables in cardiogenic shock , including the heart 's inotropic and chronotropic states , myocardial oxygen requirements , left ventricular filling pressure , and peripheral vascular tone .	...dopamine and dobutamine , which have complex effects on important...
elicited	50	changes	Thereby , the DOPAMINE ELICITED CHANGES in both fucokinase activity and fucose incorporation are similar in their time dependence .	...dopamine elicited changes in...
affect	19	redistribution	We concluded that volume loading and DOPAMINE did not AFFECT red-cell REDISTRIBUTION in a later phase of canine endotoxin shock .	...dopamine did not affect red-cell redistribution in...
has	4	effect	Precocious hatching enzyme secretion from denuded zebrafish embryos is caused by salsolinol , whereas DOPAMINE HAS an opposite EFFECT .	...dopamine has an opposite effect ....
produced	7	types	However , on sinoatrial conduction time ( SACT ) estimated by a constant atrial pacing method , DOPAMINE PRODUCED 2 TYPES of response ( shortening and lengthening ) with sinus tachycardia .	...dopamine produced 2 types of...
shortened	-1	SACT	At a control sinus rate of 120 beats/min , DOPAMINE usually SHORTENED SACT .	...dopamine usually shortened SACT ....
reduce	44	influx	However , when absorbance of the axodendritic region was monitored , DOPAMINE did REDUCE calcium INFLUX .	...dopamine did reduce calcium influx ....
represents	-1	%	The unstimulated kidney removed conjugated DOPAMINE ( which REPRESENTS 98 - 99 % of the total dopamine in plasma ) .	...dopamine ( which represents 98 - 99 % of...
has	4	activity	These results suggest that DOPAMINE HAS GtH-release-inhibitory ACTIVITY and acts directly on gonadotrophs to inhibit spontaneous secretion of GtH. Plasma steroids in the ammocoete of Petromyzon marinus .	...dopamine has GtH-release-inhibitory activity and...
injected	-1	animals	The behavioural deficits displayed by pargyline pretreated , DOPAMINE INJECTED ANIMALS were slightly but not significantly more severe than those displayed by animals receiving dopamine injections alone .	...dopamine injected animals were...
decreased	23	thermosensitivity	In addition , DOPAMINE DECREASED the local THERMOSENSITIVITY of most cold-sensitive neurons .	...dopamine decreased the local thermosensitivity of...
affected	49	release	Neither DOPAMINE nor pimozide AFFECTED prolactin RELEASE directly from the pituitary gland .	...dopamine nor pimozide affected prolactin release directly...
inhibits	0	release	These results suggest that DOPAMINE INHIBITS RELEASE of prolactin directly from the pituitary gland only when prolactin secretion is high .	...dopamine inhibits release of...
increased	1	contractility	Accordingly , because afterload increased in all patients and ESV did not , DOPAMINE probably INCREASED CONTRACTILITY .	...dopamine probably increased contractility ....
attenuated	70	actions	More significantly , DOPAMINE consistently ATTENUATED the inhibitory ACTIONS of gamma-aminobutyric acid ( GABA ) in the globus pallidus .	...dopamine consistently attenuated the inhibitory actions of...
produced	7	contraction	In the presence of propranolol ( 10(-6 ) M ) , DOPAMINE PRODUCED a dose-related CONTRACTION displaced to the right by phentolamine .	...dopamine produced a dose-related contraction displaced...
produced	7	relaxation	It is concluded that DOPAMINE PRODUCED both RELAXATION of lung parenchymal strip due to direct activation of beta-adrenoceptors and contraction mediated through direct and indirect ( catecholamine release ) actions at alpha-adrenoceptors .	...dopamine produced both relaxation of...
inhibits	0	secretion	It has been demonstrated that DOPAMINE INHIBITS the aldosterone ( Aldo ) SECRETION in bovine adrenal cells in vitro .	...dopamine inhibits the aldosterone ( Aldo ) secretion in...
inhibits	0	reabsorption	Furthermore , these data suggest that DOPAMINE INHIBITS tubular solute REABSORPTION directly .	...dopamine inhibits tubular solute reabsorption directly...
decreased	23	both	However , DOPAMINE , inhaled and infused , significantly DECREASED histamine-induced bronchoconstriction BOTH in normal and in asthmatic subjects .	...dopamine , inhaled and infused , significantly decreased histamine-induced bronchoconstriction both in...
showed	21	dependence	Epinephrine , norepinephrine , DOPAMINE , and cortisol SHOWED a clear DEPENDENCE on food intake .	...dopamine , and cortisol showed a clear dependence on...
have	9	sites	The finding that pretreatment with dibenamine ( which has been described as an alpha-adrenoceptor irreversible blocker ) did not affect the binding of dopamine to cardiac membrane preparations suggests that alpha-adrenoceptors and DOPAMINE receptors HAVE separate recognition SITES in the heart .	...dopamine receptors have separate recognition sites in...
has	4	effect	These observations tally with immunocytochemical data showing the absence of catecholaminergic innervation from the Rabbit intermediate lobe and explain why DOPAMINE HAS no EFFECT on alpha MSH release from the perifused gland .	...dopamine has no effect on...
produced	7	vasoconstriction	Thus , while epinephrine , norepinephrine and DOPAMINE all PRODUCED VASOCONSTRICTION that was mediated equally by postsynaptic vascular alpha-1 and alpha-2 adrenoceptors , their corresponding alpha-methyl-substituted derivatives produced vasoconstriction exclusively by activation of postsynaptic vascular alpha-2 adrenoceptors .	...dopamine all produced vasoconstriction that...
inhibited	2	activity	In vitro studies on an intact gastroduodenal preparation of the guinea-pig indicated that DOPAMINE INHIBITED motor ACTIVITY via a direct action on the gastrointestinal wall .	...dopamine inhibited motor activity via...
reduces	42	sensitivity	Exogenously administered DOPAMINE substantially REDUCES the SENSITIVITY of the fast chemoreflex loop to carbon dioxide .	...dopamine substantially reduces the sensitivity of...
reduced	20	effects	On the other hand , DOPAMINE ( 1 microM ) REDUCED these EFFECTS .	...dopamine ( 1 microM ) reduced these effects ....
exerts	11	effect	Previous work suggests that aldosterone is modulated by DOPAMINE , which EXERTS an inhibitory EFFECT at the level of the adrenal cortex .	...dopamine , which exerts an inhibitory effect at...
suppressed	35	secretion	Metoclopramide stimulated PRL and TSH release during naloxone treatment , whereas DOPAMINE SUPPRESSED PRL and TSH SECRETION .	...dopamine suppressed PRL and TSH secretion ....
mediates	24	behavior	Failure of intrathecally injected haloperidol to inhibit serotonin-induced gnawing indicates that DOPAMINE MEDIATES this BEHAVIOR at a supraspinal level .	...dopamine mediates this behavior at...
produces	32	inhibition	These results indicate that DOPAMINE PRODUCES an INHIBITION of the Acc neuron and that , compared to haloperidol , sulpiride is a less potent blocker of the postsynaptic dopamine receptor involved in the dopamine-induced inhibition .	...dopamine produces an inhibition of...
suppressed	35	response	In spinal rats both apomorphine and DOPAMINE SUPPRESSED thermal tail-flick reflex and enhanced tactile tail-withdrawal RESPONSE in a dose-dependent way .	...dopamine suppressed thermal tail-flick reflex and enhanced tactile tail-withdrawal response in...
influenced	62	reflexes	Neither apomorphine nor DOPAMINE INFLUENCED tail REFLEXES in intact rats , which suggests that effects of spinal dopaminergic mechanisms on these reflexes are influenced by descending supraspinal pathways .	...dopamine influenced tail reflexes in...
suppressed	35	lactotrope	Conversely , DOPAMINE directly SUPPRESSED the LACTOTROPE , which became hypersecretory immediately upon dopamine withdrawal .	...dopamine directly suppressed the lactotrope ,...
have	9	effects	The results suggest that DOPAMINE and angiotensin HAVE opposite EFFECTS on the neurosecretion of vasopressin .	...dopamine and angiotensin have opposite effects on...
inhibits	0	release	The reported findings might support the hypothesis that DOPAMINE INHIBITS the RELEASE of LH-RH .	...dopamine inhibits the release of...
exerts	11	regulation	These observations may provide insights into the biochemical mechanism by which DOPAMINE EXERTS its REGULATION of prolactin release in the anterior pituitary .	...dopamine exerts its regulation of...
modulate	15	activity	A parallel time course of stimulation of 18-OHB and aldosterone secretion with no change in other aldosterone precursors suggests that DOPAMINE may MODULATE the ACTIVITY of the glomerulosa 18-hydroxylase enzyme .	...dopamine may modulate the activity of...
mediate	37	processes	These results do not support the anhedonic hypothesis that DOPAMINE containing neurons MEDIATE reward PROCESSES and were interpreted within a sensory-motor conditioning framework .	...dopamine containing neurons mediate reward processes and...
affects	29	pathway	Dopaminergic modulation of aldosterone secretion in the rhesus monkey : evidence that DOPAMINE AFFECTS the late PATHWAY of aldosterone biosynthesis by inhibiting the conversion of corticosterone to 18-hydroxycorticosterone .	...dopamine affects the late pathway of...
modulates	10	activity	A parallel time course of stimulation of 18-hydroxycorticosterone and aldosterone secretion , with no change in other aldosterone precursors , strongly suggests that DOPAMINE MODULATES the ACTIVITY of the glomerulosa 18-hydroxylase enzyme .	...dopamine modulates the activity of...
affects	29	sites	These results suggest that intrastriatal DOPAMINE indirectly AFFECTS SITES receptive to dopamine outside the striatum .	...dopamine indirectly affects sites receptive...
plays	3	role	According to the data it seems unlikely that DOPAMINE PLAYS a major ROLE in amygdaloid kindling .	...dopamine plays a major role in...
exerts	11	inhibition	These results suggest that DOPAMINE EXERTS physiologically tonic INHIBITION on TSH secretion and the dopaminergic tone on TSH secretion is higher in female than in male .	...dopamine exerts physiologically tonic inhibition on...
depresses	86	response	The most likely explanation of these results is that exogenous DOPAMINE DEPRESSES the RESPONSE of mitral cells , which in turn decreases the dendrodendritic synaptic excitation of granule cells and reduces their inhibitory feedback onto mitral cells .	...dopamine depresses the response of...
produce	52	effects	In normal animals , DOPAMINE and dobutamine PRODUCE similar haemodynamic EFFECTS .	...dopamine and dobutamine produce similar haemodynamic effects ....
produced	7	increase	15-min infusions of graded doses of dopamine and dobutamine produced indistinguishable haemodynamic effects in a dog model in which the haemodynamic characteristics of heart failure were produced by a chronic aorta-left atrial shunt : DOPAMINE also PRODUCED the expected INCREASE in mesenteric and renal flows with this short-term exposure .	...dopamine also produced the expected increase in...
plays	3	role	These observations lend support to the hypothesis that DOPAMINE PLAYS a ROLE in seizure suppression as an increased receptor sensitivity to dopamine delayed kindled seizure development .	...dopamine plays a role in...
appears	-1	agent	In addition to its beneficial effect on renal perfusion at the dose required to effect these improvements , DOPAMINE APPEARS a better inotropic AGENT than dobutamine for postcardiotomy low-output syndrome .	...dopamine appears a better inotropic agent than...
stimulated	14	formation	Administration of cis-flupenthixol to rats for 18 months enhanced apomorphine-induced stereotyped behaviour , increased the number of specific [3H]spiperone binding sites in striatum and potentiated striatal DOPAMINE STIMULATED cyclic AMP FORMATION , but did not alter specific [3H]piflutixol binding .	...dopamine stimulated cyclic AMP formation ,...
comprised	-1	%	Free DOPAMINE COMPRISED less than 5 % of the whole dopamine fraction , free noradrenaline and free adrenaline less than 50 % of their fractions .	...dopamine comprised less than 5 % of the whole dopamine fraction , free noradrenaline and free adrenaline less than 50 % of...
had	5	effect	It was demonstrated that DOPAMINE administered into the lateral ventricle of rats with chemically induced sympathectomy of the central nervous system HAD an evident diuretic EFFECT observed 4 as well as 24 hours after its injection .	...dopamine administered into the lateral ventricle of rats with chemically induced sympathectomy of the central nervous system had an evident diuretic effect observed...
inhibits	0	action	Interactions between dopamine and prostaglandins on vascular reactivity to noradrenaline : DOPAMINE INHIBITS the ACTION of PGE1 .	...dopamine inhibits the action of...
changed	109	pressure	When perfused alone DOPAMINE up to a concentration of 10(-7)M neither CHANGED baseline PRESSURE nor modified the pressor response to noradrenaline .	...dopamine up to a concentration of 10(-7)M neither changed baseline pressure nor...
caused	8	improvement	Fluid therapy and , as necessary , DOPAMINE for hypotension , phentolamine for hypertension and atropine for bradycardia CAUSED prompt IMPROVEMENT in addition to essential measures such as meticulous control of respiratory function , body temperature and of ECG changes .	...dopamine for hypotension , phentolamine for hypertension and atropine for bradycardia caused prompt improvement in...
had	5	effect	Food intake was significantly decreased by norepinephrine and epinephrine whereas DOPAMINE HAD no EFFECT .	...dopamine had no effect ....
inhibits	0	prolactin	In addition to evidence that DOPAMINE ( DA ) INHIBITS PROLACTIN ( PRL ) via the tuberinfundibular system , there is also evidence for excitatory effects of DA via that system as well as evidence for regulation by DA sites lying behind the blood brain barrier .	...dopamine ( DA ) inhibits prolactin (...
inhibit	13	binding	While DOPAMINE did not INHIBIT the BINDING of radioactive serotonin , tryptamine , 5-methoxytryptamine , and serotonin were equally effective inhibitors .	...dopamine did not inhibit the binding of...
allow	-1	one	The determination of the electrophysiological characteristics of a population of cells directly identified as containing a specific neurotransmitter ( in this case , DOPAMINE ) may ALLOW ONE to construct better models of a system 's functioning .	...dopamine ) may allow one to...
caused	8	contractions	Both DOPAMINE and apomorphine CAUSED concentration-dependent CONTRACTIONS of the bovine pulmonary artery from rest .	...dopamine and apomorphine caused concentration-dependent contractions of...
increased	1	index	At rest , DOPAMINE INCREASED the stroke volume INDEX to 23.3 + /- 8.1 ml/m2 ( p less than 0.001 ) and reduced the PCW pressure to 20.5 + /- 1.1 mm Hg ( p less than 0.05 ) .	...dopamine increased the stroke volume index to...
shows	-1	action	Besides DOPAMINE SHOWS a minor , non significant , inhibitory ACTION on acid gastric secretion stimulated by maximal doses of pentagastrin , while showing no differences against the group without administration of domperidone .	...dopamine shows a minor , non significant , inhibitory action on...
stimulates	16	secretion	We have previously reported that DOPAMINE ( DA ) STIMULATES basal GH SECRETION , but blunts the response to hypoglycemia .	...dopamine ( DA ) stimulates basal GH secretion ,...
produces	32	vasoconstriction	At effective inotropic dose levels , DOPAMINE PRODUCES less peripheral VASOCONSTRICTION than norepinephrine .	...dopamine produces less peripheral vasoconstriction than...
increases	17	CO	In clinical heart failure , nitroprusside alone lowers LV preload with a modest increase in cardiac output ( CO ) ; DOPAMINE markedly INCREASES CO with little fall in LV preload .	...dopamine markedly increases CO with...
has	4	influence	We conclude that at the dose utilized , DOPAMINE apparently HAS no INFLUENCE on the secretion of renin , and does not modify the increase in PRA provoked by diuretic .	...dopamine apparently has no influence on...
showed	21	tendency	Urine free DOPAMINE SHOWED a TENDENCY to fall during the early phase of fludrocortisone administration and then rose towards normal .	...dopamine showed a tendency to...
has	4	role	If renal DOPAMINE HAS a ROLE in mineralocorticoid ' escape ' then it may be permissive only .	...dopamine has a role in...
increased	1	flow	However , unlike DOPAMINE , which selectively INCREASED renal blood FLOW , monensin did not affect renal blood flow in doses that produced a maximal increase in coronary blood flow or other hemodynamic effects .	...dopamine , which selectively increased renal blood flow ,...
reversed	93	hypotension	Both DOPAMINE and monensin REVERSED the cardiac depression and HYPOTENSION produced by E coli endotoxin , and in these experiments also , the duration of action of monensin was longer than 2 hr .	...dopamine and monensin reversed the cardiac depression and hypotension produced...
improve	61	function	The preservation injury itself could not be counteracted by dopamine because DOPAMINE did not IMPROVE the FUNCTION of kidneys which were removed from normotensive donors but were stored for 24 hr under hypothermia .	...dopamine did not improve the function of...
increased	1	output	During simultaneous tolazoline infusion , DOPAMINE INCREASED cardiac OUTPUT at both moderate and high doses .	...dopamine increased cardiac output at...
inhibit	13	enzyme	Contrary to earlier findings , DOPAMINE ( I ) , noradrenaline ( II ) , and adrenaline ( III ) do not INHIBIT this ENZYME at concentrations below 200 microM , but their oxidation products , the respective aminochromes ( IV , V and VI ) are inhibitors .	...dopamine ( I ) , noradrenaline ( II ) , and adrenaline ( III ) do not inhibit this enzyme at...
has	4	effect	Ciliary movement was suppressed markedly when the perfusion medium contained 10(-6 ) M dopamine , thereby indicating that DOPAMINE HAS a suppressive EFFECT on ciliary movement .	...dopamine has a suppressive effect on...
applied	-1	10(-6	Exogenous DOPAMINE APPLIED to the cerebral and buccal ganglia in vitro between 10(-7 ) M and 3 X 10(-6 ) M excited an autoactive salivary duct motor neuron ( FB ) and inhibited an autoactive secretomotor neuron ( BSN ) .	...dopamine applied to the cerebral and buccal ganglia in vitro between 10(-7 ) M and 3 X 10(-6 )...
inhibited	2	contractions	min-1 , DOPAMINE INHIBITED the phasic CONTRACTIONS of the reticulo-rumen .	...dopamine inhibited the phasic contractions of...
showed	21	changes	Both norepinephrine and DOPAMINE levels SHOWED age-related CHANGES in responsiveness to footshock .	...dopamine levels showed age-related changes in...
induces	18	vasodilation	The findings indicate that DOPAMINE INDUCES a mucosal VASODILATION via one mechanism ( possibly dopaminergic ) and enhances fluid transport via another mechanism , probably alpha-adrenergic .	...dopamine induces a mucosal vasodilation via...
improve	61	decrease	In rats treated with metoclopramide , DOPAMINE did not IMPROVE the considerable DECREASE in intestinal and pancreatic circulation caused by the segmental ischaemia .	...dopamine did not improve the considerable decrease in...
inhibits	0	neurons	These results strongly suggest that DOPAMINE derived from VTA INHIBITS Acc NEURONS receiving input from the parafascicular nucleus of thalamus but not from the hippocampus .	...dopamine derived from VTA inhibits Acc neurons receiving...
suppressed	35	levels	However , DOPAMINE SUPPRESSED ( p less than 0.05 ) plasma 18-OHB LEVELS from a baseline of 31.6 + /- 3.5 ng/dl to 23.6 + /- 2.1 ng/dl at 60 min after onset of infusion .	...dopamine suppressed ( p less than 0.05 ) plasma 18-OHB levels from...
inhibits	0	production	These results suggest that DOPAMINE selectively INHIBITS zona glomerulosa PRODUCTION of 18-OHB and aldosterone in rhesus monkeys .	...dopamine selectively inhibits zona glomerulosa production of...
regulate	26	neuron	It is suggested from these studies that ( 1 ) estrogen can directly effect the neurons in the preoptic area , ( 2 ) estrogen can act at the level of the membrane of the neuron , ( 3 ) DOPAMINE , epinephrine and norepinephrine mainly REGULATE the estrogen-sensitive NEURON suppressive , while acetylcholine excites it .	...dopamine , epinephrine and norepinephrine mainly regulate the estrogen-sensitive neuron suppressive...
modulate	15	rate	Does DOPAMINE MODULATE RATE of decay of activation in the rostral brain ?	...dopamine modulate rate of...
showed	21	increase	Plasma conjugated DOPAMINE SHOWED a marked INCREASE in group T dogs ( NT , 1398 + /- 130 pg/ml ; T , 11346 + /- 1291 pg/ml ; p less than 0.01 ) at rest , and no change in conjugated dopamine occurred in either group after short-term exercise stress .	...dopamine showed a marked increase in...
plays	3	in	The data indicate that DOPAMINE PLAYS a role IN reinforcement as well as in motor function .	...dopamine plays a role in reinforcement...
influence	34	activity	This study determined whether DOPAMINE can INFLUENCE epileptiform ACTIVITY in vitro through an action at D1 receptors .	...dopamine can influence epileptiform activity in...
enhanced	33	currents	At concentrations & gt ; or = 10 nM , DOPAMINE ENHANCED glutamate-activated CURRENTS by about 200 % .	...dopamine enhanced glutamate-activated currents by...
causes	30	cAMP	We conclude that DOPAMINE CAUSES CAMP to increase , which results in increased activation of kainate-gated channels during glutamate-mediated transmission .	...dopamine causes cAMP to...
causes	30	secretion	Several previous studies have shown that DOPAMINE CAUSES amylase SECRETION from rat parotid tissue .	...dopamine causes amylase secretion from...
suppresses	66	influx	It is concluded that DOPAMINE SUPPRESSES the INFLUX of calcium ions into cholinergic nerve terminals via an activation of alpha2-adrenoceptors coupled with a pertussis toxin-sensitive GTP-binding protein , resulting in the decrease of ACh release from ileal synaptosomes of guinea-pigs .	...dopamine suppresses the influx of...
inhibit	13	accumulation	In CHO lacI cells induced to express D4 receptors but not in uninduced cells , DOPAMINE and quinpirole INHIBIT forskolin-stimulated cAMP ACCUMULATION and potentiate ATP-stimulated [3H]arachidonic acid release through a mechanism that requires protein kinase C but is unaffected by membrane-soluble cAMP analogs .	...dopamine and quinpirole inhibit forskolin-stimulated cAMP accumulation and...
influence	34	range	However , DOPAMINE did not INFLUENCE the RANGE of tracer coupling between amacrine cells in the carp retina under the present experimental conditions .	...dopamine did not influence the range of...
blocked	74	secretion	Both 10 microM DOPAMINE and 2 microM nifedipine significantly , but incompletely , depressed PRL secretion induced by 100 nM apamin ; 10 microM dopamine completely BLOCKED PRL SECRETION induced by 20 nM charybdotoxin .	...dopamine and 2 microM nifedipine significantly , but incompletely , depressed PRL secretion induced by 100 nM apamin ; 10 microM dopamine completely blocked PRL secretion induced...
blocked	74	secretion	Both 10 microM dopamine and 2 microM nifedipine significantly , but incompletely , depressed PRL secretion induced by 100 nM apamin ; 10 microM DOPAMINE completely BLOCKED PRL SECRETION induced by 20 nM charybdotoxin .	...dopamine completely blocked PRL secretion induced...
inhibited	2	discharges	In anesthetized , paralyzed , and ventilated rats , hypoxia or intracarotid cyanide excited the carotid chemoafferents , whereas intracarotid DOPAMINE and tyramine INHIBITED the chemoafferent DISCHARGES .	...dopamine and tyramine inhibited the chemoafferent discharges ....
alters	59	current	Substance P , but not DOPAMINE or FMRFamide-related peptides , ALTERS the fast inward CURRENT .	...dopamine or FMRFamide-related peptides , alters the fast inward current ....
stimulates	16	release	Previously , we have demonstrated that DOPAMINE ( DA ) STIMULATES growth hormone ( GH ) RELEASE from the goldfish pituitary through DA D1 receptors .	...dopamine ( DA ) stimulates growth hormone ( GH ) release from...
decreased	23	content	SP ( 10(-7 ) M ) stimulated dopamine release , while DOPAMINE ( 10(-7 ) M ) DECREASED SP CONTENT and release .	...dopamine ( 10(-7 ) M ) decreased SP content and...
stimulates	16	receptors	These studies suggest that DOPAMINE mainly STIMULATES alpha-excitatory adrenergic RECEPTORS in opossum duodenal muscle and that the longitudinal muscle is more sensitive to dopamine .	...dopamine mainly stimulates alpha-excitatory adrenergic receptors in...
produced	7	increments	DOPAMINE ( 3 microgram/kg ) PRODUCED consistent and selective decrements in renal vascular resistance ( RVR ) and INCREMENTS in renal blood flow over a 220 min test period ; mean arterial blood pressure and cardiac rate were minimally affected .	...dopamine ( 3 microgram/kg ) produced consistent and selective decrements in renal vascular resistance ( RVR ) and increments in...
regulates	22	secretion	Since domperidone and benserazide are thought not to cross the blood-brain barrier , these results suggest that DOPAMINE REGULATES Prl and TSH SECRETION through extra blood-brain barrier structures .	...dopamine regulates Prl and TSH secretion through...
reduced	20	magnitude	This interpretation was substantiated by the finding that although DOPAMINE REDUCED the MAGNITUDE of contractile responses to nerve stimulation neither pimozide nor metoclopromide enhanced the amplitude of nerve-induced contractions .	...dopamine reduced the magnitude of...
stimulated	14	activity	Both DOPAMINE and N-ethyl-2-(3,4-dihydroxyphenyl)ethylamine STIMULATED adenylate cyclase ACTIVITY in a dose-dependent fashion .	...dopamine and N-ethyl-2-(3,4-dihydroxyphenyl)ethylamine stimulated adenylate cyclase activity in...
alter	39	ventilation	After haloperidol , DOPAMINE did not ALTER VENTILATION .	...dopamine did not alter ventilation ....
play	6	role	The observation that haloperidol blocks the response to exogenous dopamine , but does not alter ventilation during normoxia or hypoxia , suggests that either endogenous DOPAMINE does not PLAY an important ROLE in determining steady-state chemoreceptor discharge or endogenously released dopamine may have access to receptors that are relatively inaccessibly to exogenous blockers .	...dopamine does not play an important role in...
have	9	access	The observation that haloperidol blocks the response to exogenous dopamine , but does not alter ventilation during normoxia or hypoxia , suggests that either endogenous dopamine does not play an important role in determining steady-state chemoreceptor discharge or endogenously released DOPAMINE may HAVE ACCESS to receptors that are relatively inaccessibly to exogenous blockers .	...dopamine may have access to...
affected	49	fall	Neither adrenergic , cholinergic , aldosterone , DOPAMINE or serotonin antagonism AFFECTED the FALL in intraocular pressure induced by MDM .	...dopamine or serotonin antagonism affected the fall in...
inhibits	0	release	These results suggest that DOPAMINE INHIBITS the RELEASE of vasopressin , either by an action at pituitary level or at the median eminence of the hypothalamus .	...dopamine inhibits the release of...
had	5	effect	Histamine , DOPAMINE , 5-hydoxytryptamine , gamma-aminobutyric acid , and norepinephrine HAD no EFFECT .	...dopamine , 5-hydoxytryptamine , gamma-aminobutyric acid , and norepinephrine had no effect ....
blocked	74	dopamine	In normal AP cells , 1 - 100 nM DOPAMINE BLOCKED PRL secretion induced by 20 mM TEA in a log-linear concentration-dependent fashion , with a plateau at & gt ; 100 nM DOPAMINE ( IC50 30 nM ) .	...dopamine blocked PRL secretion induced by 20 mM TEA in a log-linear concentration-dependent fashion , with a plateau at & gt ; 100 nM dopamine (...
have	9	effect	Conversely , DOPAMINE or haloperidol ( a dopamine antagonist , acting mainly on D2 receptors ) HAVE no EFFECT upon the monocular OKN unidirectionality .	...dopamine or haloperidol ( a dopamine antagonist , acting mainly on D2 receptors ) have no effect upon...
stimulate	25	release	Previous research indicates that norepinephrine and DOPAMINE STIMULATE RELEASE of luteinizing hormone (LH)-releasing hormone ( LHRH ) , which then reaches the adenohypophysis via the hypophyseal portal vessels to release LH .	...dopamine stimulate release of...
exerts	11	effect	The results indicate the negative feedback as the most possible mechanism by which DOPAMINE EXERTS its suppressor EFFECT on chemoreceptor nerve activity .	...dopamine exerts its suppressor effect on...
play	6	role	These results suggest that DOPAMINE may PLAY an important inhibitory ROLE in the control of aldosterone secretion .	...dopamine may play an important inhibitory role in...
produced	7	relaxations	Phenylephrine ( 5 x 10(-7 ) to 5 x 10(-5 ) M ) produced a dose-related contraction , whilst DOPAMINE ( 10(-6 ) to 10(-4 ) M ) and isoprenaline ( 5 x 10(-7 ) to 2 x 10(-5 ) M ) PRODUCED dose-related RELAXATIONS .	...dopamine ( 10(-6 ) to 10(-4 ) M ) and isoprenaline ( 5 x 10(-7 ) to 2 x 10(-5 ) M ) produced dose-related relaxations ....
reaches	-1	pituitary	The data show that posterior pituitary DOPAMINE REACHES the anterior PITUITARY via the short hypophysial portal vessels and participates in the regulation of prolactin secretion .	...dopamine reaches the anterior pituitary via...
had	5	effect	At doses of 5 microgram/kg per min , DOPAMINE HAD no significant EFFECT on DPTI/TTI , DDPTI/TTI or endocardial/epicardial flow ratio ; however , dobutamine produced a slight decrease in this flow ratio and in DDPTI/TTI .	...dopamine had no significant effect on...
had	5	effects	4 ) The temperature and pH of the medium influenced the IR-PRL release , but DOPAMINE , bromocriptine and somatostatin HAD no EFFECTS on the PRL releasing activity of the decidua .	...dopamine , bromocriptine and somatostatin had no effects on...
affects	29	neurones	7 The present results would support the concept that dendritically released DOPAMINE not only AFFECTS other nigral dopamine NEURONES , but also influences non-dopaminergic nigral neurones , some of which project outside the basal ganglia .	...dopamine not only affects other nigral dopamine neurones ,...
regulates	22	release	So , we can postulate that DOPAMINE REGULATES the reflex RELEASE of oxytocin and vasopressin in the hypothalamus .	...dopamine regulates the reflex release of...
has	4	not	It is commonly accepted that hypothalamic DOPAMINE HAS an inhibitory role NOT only on prolactin but also on TSH secretion .	...dopamine has an inhibitory role not only...
decreased	23	activity	Drug concentrations of 1 x 10(8 ) M carbachol , 1 x 10(-6 ) M metrifonate , 1 x 10(-8 ) DOPAMINE , and 1 x 10(-5 ) M pentobarbital also significantly DECREASED electrical ACTIVITY .	...dopamine , and 1 x 10(-5 ) M pentobarbital also significantly decreased electrical activity ....
had	5	effect	In this animal model of the circulation with a fixed cardiac output , DOPAMINE HAD the greatest EFFECT on the peripheral vasculature and chronotropy .	...dopamine had the greatest effect on...
improves	45	performance	In contrast DOPAMINE IMPROVES the haemodynamic PERFORMANCE of the heart at the expense of increased aerobic and anaerobic metabolism .	...dopamine improves the haemodynamic performance of...
regulates	22	secretion	Metoclopramide , a dopamine receptor antagonist , increases plasma aldosterone concentration in man , suggesting that DOPAMINE REGULATES the SECRETION of aldosterone .	...dopamine regulates the secretion of...
produced	7	increase	At doses which increased contractile force by 100 % , ASL-7022 produced no significant increase in heart rate , whereas DOPAMINE and dobutamine PRODUCED small but significant INCREASE in cardiac rate , ASL-7022 was therefore found to be more inotropic selective with respect to cardiac action than dopamine or dobutamine .	...dopamine and dobutamine produced small but significant increase in...
play	6	role	It is concluded that there are specific dopamine receptors in the renal vasculature of the rat , and that DOPAMINE may PLAY a ROLE in the normal control of renal blood flow .	...dopamine may play a role in...
induced	12	contraction	In femoral strips , noradrenaline , DOPAMINE , and dobutamine INDUCED a dose-dependent CONTRACTION which was blocked by phenoxybenzamine .	...dopamine , and dobutamine induced a dose-dependent contraction which...
elicited	50	contraction	In pulmonary strips , noradrenaline and DOPAMINE ELICITED a dose-dependent CONTRACTION which was blocked by phenoxybenzamine , whereas dobutamine did not act on the strips .	...dopamine elicited a dose-dependent contraction which...
alleviates	-1	symptoms	Tyrosine hydroxylase converts tyrosine to L-DOPA and endogenous decarboxylase activity then converts L-DOPA to the neurotransmitter DOPAMINE , which ALLEVIATES the SYMPTOMS of Parkinson 's disease .	...dopamine , which alleviates the symptoms of...
